"","establishment_name","type","naics1","seq_no","industry","description"
"128","Tyson Foods, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"129","Jake Williams, Llc","Fat/Cat","238160",241,"Roofing Contractors","This industry comprises establishments primarily engaged in roofing.  This industry also includes establishments treating roofs (i.e., spraying, painting, or coating) and installing skylights.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Painting, spraying, or coating, roof
Sheet metal roofing installation
Shake and shingle, roof, installation	
Skylight installation


Cross-References. Establishments primarily engaged in--"
"130","Eagle Sandblasting And Painting, Inc.","Fat/Cat","238990",270,"All Other Specialty Trade Contractors","This industry comprises establishments primarily engaged in specialized trades (except foundation, structure, and building exterior contractors; building equipment contractors; building finishing contractors; and site preparation contractors).  The specialty trade work performed includes new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Billboard erection
Outdoor swimming pool construction
Paver, brick (e.g., driveway, patio, sidewalk), installation
Crane rental with operator
Paving, residential and commercial driveway and parking lot
Sandblasting building exteriors
Fence installation
Scaffold erecting and dismantling
Interlocking brick and block installation
Steeplejack work
Manufactured (mobile) home set up and tie-down work
Driveway paving or sealing


Cross-References. Establishments primarily engaged in--"
"131","C & D Steel Erectors, Inc","Fat/Cat","236210",208,"Industrial Building Construction","This industry comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of industrial buildings (except warehouses).  The construction of selected additional structures, whose production processes are similar to those for industrial buildings (e.g., incinerators, cement plants, blast furnaces, and similar nonbuilding structures), is included in this industry.  Included in this industry are industrial building general contractors, industrial building for-sale builders, industrial building design-build firms, and industrial building construction management firms.

Illustrative Examples:

Assembly plant construction
Furnace, industrial plant, construction
Cannery construction
Mine loading and discharging station construction
Cement plant construction
Paper or pulp mill construction
Steel mill construction
Chemical plant (except petrochemical) construction
Pharmaceutical manufacturing plant construction
Factory construction
Food processing plant construction
Waste disposal plant (except sewage treatment) construction


Cross-References. Establishments primarily engaged in--"
"132","Long'S Roofing & Sheet Metal Works, Inc.","Fat/Cat","238160",241,"Roofing Contractors","This industry comprises establishments primarily engaged in roofing.  This industry also includes establishments treating roofs (i.e., spraying, painting, or coating) and installing skylights.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Painting, spraying, or coating, roof
Sheet metal roofing installation
Shake and shingle, roof, installation	
Skylight installation


Cross-References. Establishments primarily engaged in--"
"133","Triple E Construction, Inc","Fat/Cat","237110",214,"Water and Sewer Line and Related Structures Construction","This industry comprises establishments primarily engaged in the construction of water and sewer lines, mains, pumping stations, treatment plants, and storage tanks.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to water, sewer line, and related structures construction.  All structures (including buildings) that are integral parts of water and sewer networks (e.g., storage tanks, pumping stations, water treatment plants, and sewage treatment plants) are included in this industry.

Illustrative Examples:

Distribution line, sewer and water, construction
Sewer main, pipe and connection, construction
Fire hydrant installation
Storm sewer construction
Irrigation systems construction
Water main and line construction
Sewage disposal plant construction
Water treatment plant construction
Pumping station, water and sewage system, construction
Water system storage tank and tower construction
Reservoir construction
Water well drilling, digging, boring, or sinking (except water intake wells in oil and gas fields)


Cross-References. Establishments primarily engaged in--"
"134","Mdw Logging, Inc.","Fat/Cat","113310",107,"Logging","This industry comprises establishments primarily engaged in one or more of the following: (1) cutting timber; (2) cutting and transporting timber; and (3) producing wood chips in the field.

Cross-References. Establishments primarily engaged in--"
"135","Quality Inn & Suites","Fat/Cat","721110",1928,"Hotels (except Casino Hotels) and Motels","This industry comprises establishments primarily engaged in providing short-term lodging in facilities known as hotels, motor hotels, resort hotels, and motels.  The establishments in this industry may offer food and beverage services, recreational services, conference rooms, convention services, laundry services, parking, and other services.

Cross-References. Establishments primarily engaged in--"
"136","Victory Lumber Llc","Fat/Cat","423310",919,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of lumber; plywood; reconstituted wood fiber products; wood fencing; doors and windows and their frames (all materials); wood roofing and siding; and/or other wood or metal millwork.

Cross-References. Establishments primarily engaged in--"
"137","Planters Cotton Oil Mill","Fat/Cat","111191",17,"Oilseed and Grain Combination Farming","This U.S. industry comprises establishments engaged in growing a combination of oilseed(s) and grain(s) with no one oilseed (or family of oilseeds) or grain (or family of grains) accounting for one-half of the establishment's agricultural production (value of crops for market).  These establishments may produce oilseed(s) and grain(s) seeds and/or grow oilseed(s) and grain(s).

Cross-References."
"138","Kimberly-Clark Corp., Conway Mills","Fat/Cat","322291",453,"Sanitary Paper Product Manufacturing","This U.S. industry comprises establishments primarily engaged in converting purchased sanitary paper stock or wadding into sanitary paper products, such as facial tissues, handkerchiefs, table napkins, toilet paper, towels, disposable diapers, sanitary napkins, and tampons.
"
"139","East End Towing Inc","Fat/Cat","488410",1310,"Motor Vehicle Towing","This industry comprises establishments primarily engaged in towing light or heavy motor vehicles, both local and long-distance.  These establishments may provide incidental services, such as storage and emergency road repair services.

Cross-References. Establishments primarily engaged in--"
"140","Wiliam Heath Roofing","Fat/Cat","238160",241,"Roofing Contractors","This industry comprises establishments primarily engaged in roofing.  This industry also includes establishments treating roofs (i.e., spraying, painting, or coating) and installing skylights.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Painting, spraying, or coating, roof
Sheet metal roofing installation
Shake and shingle, roof, installation	
Skylight installation


Cross-References. Establishments primarily engaged in--"
"141","Wallin'S Agri-Aviation, Inc.","Fat/Cat","115112",121,"Soil Preparation, Planting, and Cultivating","This U.S. industry comprises establishments primarily engaged in performing a soil preparation activity or crop production service, such as plowing, fertilizing, seed bed preparation, planting, cultivating, and crop protecting services.

Cross-References. Establishments primarily engaged in--"
"142","Tlh Farms","Fat/Cat","111160",15,"Rice Farming","This industry comprises establishments primarily engaged in growing rice (except wild rice) and/or producing rice seeds.

Cross-References. Establishments primarily engaged in--"
"143","Morris Farms, Inc.","Fat/Cat","111150",13,"Corn Farming","This industry comprises establishments primarily engaged in growing corn (except sweet corn) and/or producing corn seeds.

Cross-References. Establishments primarily engaged in--"
"144","Methvin Sanitation, Inc.","Fat/Cat","562219",1724,"Other Nonhazardous Waste Treatment and Disposal","This U.S. industry comprises establishments primarily engaged in (1) operating nonhazardous waste treatment and disposal facilities (except landfills, combustors, incinerators, and sewer systems or sewage treatment facilities) or (2) the combined activity of collecting and/or hauling of nonhazardous waste materials within a local area and operating waste treatment or disposal facilities (except landfills, combustors, incinerators, and sewer systems or sewage treatment facilities).  Compost dumps are included in this industry.

Cross-References. Establishments primarily engaged in--"
"145","Riceland Seed Company","Fat/Cat","424510",1025,"Grain and Field Bean Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of grains, such as corn, wheat, oats, barley, and unpolished rice; dry beans; and soybeans and other inedible beans.  Included in this industry are establishments primarily engaged in operating country or terminal grain elevators primarily for the purpose of wholesaling.

Cross-References. Establishments primarily engaged in--"
"146","Patrick Electric, Llc","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"147","Hays Livestock Auction, Inc.","Fat/Cat","424520",1027,"Livestock Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of livestock (except horses and mules).

Illustrative Examples:

Cattle merchant wholesalers
Hogs merchant wholesalers
Goats merchant wholesalers
Sheep merchant wholesalers


Cross-References."
"148","Clanton Farms, Llc","Fat/Cat","111219",22,"Other Vegetable (except Potato) and Melon Farming","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) growing melons and/or vegetables (except potatoes; dry peas; dry beans; field, silage, or seed corn; and sugar beets); (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.

Illustrative Examples:

Carrot farming
Squash farming
Green bean farming
Tomato farming
Watermelon farming 
Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon)
Vegetable (except potato) farming
Pepper farming (e.g., bell, chili, green, red, sweet peppers)


Cross-References. Establishments primarily engaged in--"
"149","Redstone Construction Group, Llc.","Fat/Cat","236220",210,"Commercial and Institutional Building Construction","This industry comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of commercial and institutional buildings and related structures, such as stadiums, grain elevators, and indoor swimming facilities.  This industry includes establishments responsible for the on-site assembly of modular or prefabricated commercial and institutional buildings.  Included in this industry are commercial and institutional building general contractors, commercial and institutional building for-sale builders, commercial and institutional building design-build firms, and commercial and institutional building project construction management firms.

Illustrative Examples:

Airport building construction
Office building construction
Arena construction
Parking garage construction
Barrack construction
Prison construction
Farm building construction
Radio and television broadcast studio construction
Fire station construction
Grain elevator or bin construction
Data center construction
Religious building (e.g., church, synagogue, mosque, temple) construction
Restaurant construction
Hospital construction
School building construction
Hotel construction
Shopping mall construction
Indoor swimming facility construction
Warehouse construction (e.g., commercial, industrial, manufacturing, private)


Cross-References. Establishments primarily engaged in--"
"150","Arkansas Steel Warehouse, Inc.","Fat/Cat","331221",600,"Rolled Steel Shape Manufacturing","This U.S. industry comprises establishments primarily engaged in rolling or drawing shapes (except wire), such as plate, sheet, strip, rod, and bar, from purchased steel.

Cross-References. Establishments primarily engaged in--"
"151","Wilson Bros Lumber Company, Llc","Fat/Cat","321113",416,"Sawmills","This U.S. industry comprises establishments primarily engaged in sawing dimension lumber, boards, beams, timbers, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.

Cross-References. Establishments primarily engaged in--"
"152","Jp Construction, Llc","Fat/Cat","238130",235,"Framing Contractors","This industry comprises establishments primarily engaged in structural framing and sheathing using materials other than structural steel or concrete.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Building framing (except structural steel)
Post framing contractors
Foundation, building, wood, contractors
Steel framing contractors
Framing contractors
Wood frame component (e.g., truss) fabrication on site


Cross-References. Establishments primarily engaged in--"
"153","W. G. Yates & Sons Construction Company","Fat/Cat","236220",210,"Commercial and Institutional Building Construction","This industry comprises establishments primarily responsible for the construction (including new work, additions, alterations, maintenance, and repairs) of commercial and institutional buildings and related structures, such as stadiums, grain elevators, and indoor swimming facilities.  This industry includes establishments responsible for the on-site assembly of modular or prefabricated commercial and institutional buildings.  Included in this industry are commercial and institutional building general contractors, commercial and institutional building for-sale builders, commercial and institutional building design-build firms, and commercial and institutional building project construction management firms.

Illustrative Examples:

Airport building construction
Office building construction
Arena construction
Parking garage construction
Barrack construction
Prison construction
Farm building construction
Radio and television broadcast studio construction
Fire station construction
Grain elevator or bin construction
Data center construction
Religious building (e.g., church, synagogue, mosque, temple) construction
Restaurant construction
Hospital construction
School building construction
Hotel construction
Shopping mall construction
Indoor swimming facility construction
Warehouse construction (e.g., commercial, industrial, manufacturing, private)


Cross-References. Establishments primarily engaged in--"
"154","Ozark Mountain Poultry","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"155","A & F Enterprises, Inc.","Fat/Cat","423110",905,"Automobile and Other Motor Vehicle Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of new and used passenger automobiles, trucks, trailers, and other motor vehicles, such as motorcycles, motor homes, and snowmobiles.
"
"156","Elrod Truck Service, Llc","Fat/Cat","484121",1233,"General Freight Trucking, Long-Distance, Truckload","This U.S. industry comprises establishments primarily engaged in providing long-distance general freight truckload (TL) trucking.  These long-distance general freight truckload carrier establishments provide full truck movement of freight from origin to destination.  The shipment of freight on a truck is characterized as a full single load not combined with other shipments.

Cross-References. Establishments primarily engaged in--"
"157","West Tree Service, Inc.","Fat/Cat","561730",1701,"Landscaping Services","This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.

Cross-References. Establishments primarily engaged in--"
"158","Multi-Craft Contractors, Inc.","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"159","Powell Feed & Milling, Inc.","Fat/Cat","311119",276,"Other Animal Food Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing animal food (except dog and cat) from ingredients, such as grains, oilseed mill products, and meat products.

Cross-References. Establishments primarily engaged in--"
"160","Juan Galvan","Fat/Cat","238130",235,"Framing Contractors","This industry comprises establishments primarily engaged in structural framing and sheathing using materials other than structural steel or concrete.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Building framing (except structural steel)
Post framing contractors
Foundation, building, wood, contractors
Steel framing contractors
Framing contractors
Wood frame component (e.g., truss) fabrication on site


Cross-References. Establishments primarily engaged in--"
"161","Home Brands, Inc.","Fat/Cat","321992",433,"Prefabricated Wood Building Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing prefabricated wood buildings and wood sections and panels for prefabricated wood buildings.

Cross-References. Establishments primarily engaged in--"
"162","Frit Industries","Fat/Cat","325314",497,"Fertilizer (Mixing Only) Manufacturing","This U.S. industry comprises establishments primarily engaged in mixing ingredients made elsewhere into fertilizers.

Cross-References. Establishments primarily engaged in--"
"163","Texamerican Food Blending, Inc.","Fat/Cat","311942",342,"Spice and Extract Manufacturing","This U.S. industry comprises establishments primarily engaged in (1) manufacturing spices, table salt, seasonings, flavoring extracts (except coffee and meat), and natural food colorings and/or (2) manufacturing dry mix food preparations, such as salad dressing mixes, gravy and sauce mixes, frosting mixes, and other dry mix preparations.

Cross-References. Establishments primarily engaged in--"
"164","Nucor-Yamato Steel, Inc.","Fat/Cat","331110",595,"Iron and Steel Mills and Ferroalloy Manufacturing","This industry comprises establishments primarily engaged in one or more of the following: (1) direct reduction of iron ore; (2) manufacturing pig iron in molten or solid form; (3) converting pig iron into steel; (4) making steel; (5) making steel and manufacturing shapes (e.g., bar, plate, rod, sheet, strip, wire); (6) making steel and forming pipe and tube; and (7) manufacturing electrometallurgical ferroalloys. Ferroalloys add critical elements, such as silicon and manganese for carbon steel and chromium, vanadium, tungsten, titanium, and molybdenum for low- and high-alloy metals.  Ferroalloys include iron-rich alloys and more pure forms of elements added during the steel manufacturing process that alter or improve the characteristics of the metal.

Cross-References. Establishments primarily engaged in--"
"165","Cargill Meat Solutions Corp","Fat/Cat","311611",315,"Animal (except Poultry) Slaughtering","This U.S. industry comprises establishments primarily engaged in slaughtering animals (except poultry and small game).  Establishments that slaughter and prepare meats are included in this industry.

Cross-References. Establishments primarily engaged in--"
"166","Samuel Zulch","Fat/Cat","238160",241,"Roofing Contractors","This industry comprises establishments primarily engaged in roofing.  This industry also includes establishments treating roofs (i.e., spraying, painting, or coating) and installing skylights.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Painting, spraying, or coating, roof
Sheet metal roofing installation
Shake and shingle, roof, installation	
Skylight installation


Cross-References. Establishments primarily engaged in--"
"167","James Construction Group","Fat/Cat","237310",224,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
"168","James Tree Service, Inc.","Fat/Cat","561730",1701,"Landscaping Services","This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.

Cross-References. Establishments primarily engaged in--"
"169","White Logging Company, Llc","Fat/Cat","113310",107,"Logging","This industry comprises establishments primarily engaged in one or more of the following: (1) cutting timber; (2) cutting and transporting timber; and (3) producing wood chips in the field.

Cross-References. Establishments primarily engaged in--"
"170","Mize Heating And Air, Inc.","Fat/Cat","238220",250,"Plumbing, Heating, and Air-Conditioning Contractors","This industry comprises establishments primarily engaged in installing and servicing plumbing, heating, and air-conditioning equipment.  Contractors in this industry may provide both parts and labor when performing work.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Cooling tower installation
Heating, ventilation, and air-conditioning (HVAC) contractors
Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation) installation
Lawn sprinkler system installation
Fire sprinkler system installation
Mechanical contractors
Fireplace, natural gas, installation
Refrigeration system (e.g., commercial, industrial, scientific) installation
Furnace installation
Sewer hookup and connection, building


Cross-References. Establishments primarily engaged in--"
"171","Mcelroy Truckline","Fat/Cat","484110",1231,"General Freight Trucking, Local","This industry comprises establishments primarily engaged in providing local general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized and transported in a container or van trailer.  Local general freight trucking establishments usually provide trucking within a metropolitan area which may cross state lines.  Generally the trips are same-day return.

Cross-References. Establishments primarily engaged in--"
"172","Nucor-Yamato Steel, Inc.","Fat/Cat","331110",595,"Iron and Steel Mills and Ferroalloy Manufacturing","This industry comprises establishments primarily engaged in one or more of the following: (1) direct reduction of iron ore; (2) manufacturing pig iron in molten or solid form; (3) converting pig iron into steel; (4) making steel; (5) making steel and manufacturing shapes (e.g., bar, plate, rod, sheet, strip, wire); (6) making steel and forming pipe and tube; and (7) manufacturing electrometallurgical ferroalloys. Ferroalloys add critical elements, such as silicon and manganese for carbon steel and chromium, vanadium, tungsten, titanium, and molybdenum for low- and high-alloy metals.  Ferroalloys include iron-rich alloys and more pure forms of elements added during the steel manufacturing process that alter or improve the characteristics of the metal.

Cross-References. Establishments primarily engaged in--"
"173","Land Design, Inc.","Fat/Cat","561730",1701,"Landscaping Services","This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.

Cross-References. Establishments primarily engaged in--"
"174","B C Main Construction, Inc.","Fat/Cat","237110",214,"Water and Sewer Line and Related Structures Construction","This industry comprises establishments primarily engaged in the construction of water and sewer lines, mains, pumping stations, treatment plants, and storage tanks.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to water, sewer line, and related structures construction.  All structures (including buildings) that are integral parts of water and sewer networks (e.g., storage tanks, pumping stations, water treatment plants, and sewage treatment plants) are included in this industry.

Illustrative Examples:

Distribution line, sewer and water, construction
Sewer main, pipe and connection, construction
Fire hydrant installation
Storm sewer construction
Irrigation systems construction
Water main and line construction
Sewage disposal plant construction
Water treatment plant construction
Pumping station, water and sewage system, construction
Water system storage tank and tower construction
Reservoir construction
Water well drilling, digging, boring, or sinking (except water intake wells in oil and gas fields)


Cross-References. Establishments primarily engaged in--"
"175","Schindler Elevator Corporation","Fat/Cat","333921",727,"Elevator and Moving Stairway Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing elevators and moving stairways.

Illustrative Examples:

Automobile lifts (i.e., garage-type, service station) manufacturing
Escalators manufacturing
Moving walkways manufacturing
Passenger and freight elevators manufacturing


Cross-References."
"176","Scott Systems","Fat/Cat","238220",250,"Plumbing, Heating, and Air-Conditioning Contractors","This industry comprises establishments primarily engaged in installing and servicing plumbing, heating, and air-conditioning equipment.  Contractors in this industry may provide both parts and labor when performing work.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Cooling tower installation
Heating, ventilation, and air-conditioning (HVAC) contractors
Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation) installation
Lawn sprinkler system installation
Fire sprinkler system installation
Mechanical contractors
Fireplace, natural gas, installation
Refrigeration system (e.g., commercial, industrial, scientific) installation
Furnace installation
Sewer hookup and connection, building


Cross-References. Establishments primarily engaged in--"
"177","Kinder Morgan Marine Services, Llc","Fat/Cat","488320",1303,"Marine Cargo Handling","This industry comprises establishments primarily engaged in providing stevedoring and other marine cargo handling services (except warehousing).

Cross-References. Establishments primarily engaged in--"
"178","R+L Carriers Shared Services, Llc","Fat/Cat","484121",1233,"General Freight Trucking, Long-Distance, Truckload","This U.S. industry comprises establishments primarily engaged in providing long-distance general freight truckload (TL) trucking.  These long-distance general freight truckload carrier establishments provide full truck movement of freight from origin to destination.  The shipment of freight on a truck is characterized as a full single load not combined with other shipments.

Cross-References. Establishments primarily engaged in--"
"179","Domtar Incorporated","Fat/Cat","322110",438,"Pulp Mills","This industry comprises establishments primarily engaged in manufacturing pulp without manufacturing paper or paperboard.  The pulp is made by separating the cellulose fibers from the other impurities in wood or other materials, such as used or recycled rags, linters, scrap paper, and straw.

Cross-References. Establishments primarily engaged in--"
"180","Tracy Strange Logging","Fat/Cat","113310",107,"Logging","This industry comprises establishments primarily engaged in one or more of the following: (1) cutting timber; (2) cutting and transporting timber; and (3) producing wood chips in the field.

Cross-References. Establishments primarily engaged in--"
"181","Wal-Mart Distribution Center # 6866","Fat/Cat","493110",1334,"General Warehousing and Storage","This industry comprises establishments primarily engaged in operating merchandise warehousing and storage facilities.  These establishments generally handle goods in containers, such as boxes, barrels, and/or drums, using equipment, such as forklifts, pallets, and racks.  They are not specialized in handling bulk products of any particular type, size, or quantity of goods or products.

Cross-References. Establishments primarily engaged in--"
"182","Bad Boy Mowers","Fat/Cat","333112",689,"Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing powered lawnmowers, lawn and garden tractors, and other home lawn and garden equipment, such as tillers, shredders, yard vacuums, and leaf blowers.

Cross-References. Establishments primarily engaged in--"
"183","Korey Dixon Trucking, Llc","Fat/Cat","113110",101,"Timber Tract Operations","This industry comprises establishments primarily engaged in the operation of timber tracts for the purpose of selling standing timber.

Cross-References. Establishments primarily engaged in--"
"184","Sweetser Construction Company, Inc.","Fat/Cat","237310",224,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
"185","Royal Oak Enterprises Llc","Fat/Cat","325194",485,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) distilling wood or gum into products, such as tall oil and wood distillates; (2) distilling coal tars; (3) manufacturing wood or gum chemicals, such as naval stores, natural tanning materials, charcoal briquettes, and charcoal (except activated); and (4) manufacturing cyclic crudes or cyclic intermediates (i.e., hydrocarbons, except aromatic petrochemicals) from refined petroleum or natural gas.

Cross-references. Establishments primarily engaged in--"
"186","Ceg Construction, Inc.","Fat/Cat","238990",270,"All Other Specialty Trade Contractors","This industry comprises establishments primarily engaged in specialized trades (except foundation, structure, and building exterior contractors; building equipment contractors; building finishing contractors; and site preparation contractors).  The specialty trade work performed includes new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Billboard erection
Outdoor swimming pool construction
Paver, brick (e.g., driveway, patio, sidewalk), installation
Crane rental with operator
Paving, residential and commercial driveway and parking lot
Sandblasting building exteriors
Fence installation
Scaffold erecting and dismantling
Interlocking brick and block installation
Steeplejack work
Manufactured (mobile) home set up and tie-down work
Driveway paving or sealing


Cross-References. Establishments primarily engaged in--"
"187","Hale'S Steel Llc","Fat/Cat","238120",233,"Structural Steel and Precast Concrete Contractors","This industry comprises establishments primarily engaged in (1) erecting and assembling structural parts made from steel or precast concrete (e.g., steel beams, structural steel components, and similar products of precast concrete) and/or (2) assembling and installing other steel construction products (e.g., steel rods, bars, rebar, mesh, and cages) to reinforce poured-in-place concrete.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Concrete product (e.g., structural precast, structural prestressed) installation
Rebar contractors
Erecting structural steel
Reinforcing steel contractors
Placing and tying reinforcing rod at a construction site
Structural steel contractors
Precast concrete panel, slab, or form installation


Cross-References. Establishments primarily engaged in--"
"188","Capital City Tree Service","Fat/Cat","561730",1701,"Landscaping Services","This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.

Cross-References. Establishments primarily engaged in--"
"189","Tommy'S Asphalt","Fat/Cat","238990",270,"All Other Specialty Trade Contractors","This industry comprises establishments primarily engaged in specialized trades (except foundation, structure, and building exterior contractors; building equipment contractors; building finishing contractors; and site preparation contractors).  The specialty trade work performed includes new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Billboard erection
Outdoor swimming pool construction
Paver, brick (e.g., driveway, patio, sidewalk), installation
Crane rental with operator
Paving, residential and commercial driveway and parking lot
Sandblasting building exteriors
Fence installation
Scaffold erecting and dismantling
Interlocking brick and block installation
Steeplejack work
Manufactured (mobile) home set up and tie-down work
Driveway paving or sealing


Cross-References. Establishments primarily engaged in--"
